Fixity report
Project name	D:\python\Fixity Project\New_Project
Algorithm used	sha256
Date	2014-03-21
Total Files	28
Confirmed Files	21
Moved or Renamed Files	0
New Files	1
Changed Files	0
Removed Files	6
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\III-157.xml
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Access Copies\III-157SAAC.mp3_tested.md5
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Access Copies\III-157SBAC.mp3.md5
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Miscellaneous\III-157 Metadata Sheet.xls
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Miscellaneous\III-157.adl
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Original Master\Avalanche Audio Recordings Inventory_AVPS_1.txt
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SAPM.adl
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SAPM.wav.md5
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SAPM.xml
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SBP1PM.wav.md5
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SBP1PM.xml
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SBP2PM.wav.md5
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SBP2PM.xml
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SBP3PM.wav.md5
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SBP3PM.xml
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SBP4PM.wav.md5
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SBP4PM.xml
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SBP5PM.wav.md5
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SBP5PM.xml
Confirmed File :	C:\Users\Furqan\Desktop\New folder\III-157_2_t\Preservation Master\III-157SBPM.adl
New File :	C:\Users\Furqan\Desktop\New folder\Miscellaneous\Access Master Tool Chain - ADK - Copy.xml
Confirmed File :	C:\Users\Furqan\Desktop\New folder\Miscellaneous\Access Master Tool Chain - ADK.xml
Removed Files	C:\Users\Furqan\Desktop\New folder\Miscellaneous\asdasdasdas - Copy.txt
Removed Files	C:\Users\Furqan\Desktop\New folder\Miscellaneous\asdasdasdas - Copy - Copy.txt
Removed Files	C:\Users\Furqan\Desktop\New folder\Miscellaneous\asdasdasdas - Copy (3) - Copy.txt
Removed Files	C:\Users\Furqan\Desktop\New folder\Miscellaneous\asdasdasdas - Copy (3) - Copy - Copy.txt
Removed Files	C:\Users\Furqan\Desktop\New folder\Miscellaneous\asdasdasdas - Copy (2).txt
Removed Files	C:\Users\Furqan\Desktop\New folder\Miscellaneous\asdasdasdas - Copy (2) - Copy.txt
